"biomarker","auc","CN_Mean","CN_SD","AD_Mean","AD_SD","pvalues","statistic","foldchange","qvalues"
"TG(14:0_40:5)",0.507,0.146,0.081,0.146,0.074,0.995,-0.006,1,0.997
"TG(16:0_28:1)",0.521,1.6,2.643,1.305,1.895,0.113,-1.586,0.815,0.33
"TG(16:0_28:2)",0.542,0.63,0.897,0.489,0.631,0.024,-2.259,0.775,0.12
"TG(16:0_30:2)",0.507,2.012,2.634,1.93,2.184,0.682,-0.41,0.959,0.853
"TG(16:0_32:0)",0.572,20.733,26.146,14.703,15.995,0.001,-3.485,0.709,0.009
"TG(16:0_32:1)",0.535,29.39,30.869,25.08,24.437,0.059,-1.892,0.853,0.231
"TG(16:0_32:2)",0.512,14.041,13.322,12.861,10.859,0.237,-1.183,0.916,0.496
"TG(16:0_32:3)",0.51,2.356,2.333,2.172,1.8,0.281,-1.079,0.922,0.529
"TG(16:0_33:1)",0.519,4.096,4.008,3.678,3.043,0.15,-1.443,0.898,0.375
"TG(16:0_33:2)",0.503,2.024,1.761,1.913,1.352,0.385,-0.869,0.945,0.632
"TG(16:0_34:0)",0.56,16.753,15.203,13.616,11.589,0.005,-2.847,0.813,0.037
"TG(16:0_34:1)",0.541,102.445,82.829,89.509,68.845,0.039,-2.066,0.874,0.174
"TG(16:0_34:2)",0.508,91.16,64.559,86.315,55.655,0.331,-0.974,0.947,0.585
"TG(16:0_34:3)",0.52,24.793,15.672,24.864,14.017,0.954,0.057,1.003,0.972
"TG(16:0_34:4)",0.507,2.917,2.165,2.748,1.747,0.293,-1.051,0.942,0.54
"TG(16:0_35:1)",0.52,3.467,2.905,3.183,2.397,0.194,-1.3,0.918,0.441
"TG(16:0_35:2)",0.504,5.228,3.625,5.116,3.146,0.688,-0.401,0.978,0.853
"TG(16:0_35:3)",0.524,2.288,1.435,2.309,1.228,0.844,0.197,1.009,0.922
"TG(16:0_36:2)",0.505,195.277,103.946,193.129,102.983,0.804,-0.248,0.989,0.914
"TG(16:0_36:3)",0.519,203.559,102.391,208.487,95.92,0.551,0.597,1.024,0.748
"TG(16:0_36:4)",0.535,74.053,39.749,77.224,36.225,0.315,1.005,1.043,0.564
"TG(16:0_36:5)",0.505,10.046,6.014,9.911,5.09,0.769,-0.294,0.987,0.891
"TG(16:0_36:6)",0.533,1.067,0.874,0.923,0.562,0.015,-2.44,0.865,0.085
"TG(16:0_37:3)",0.501,2.019,1.23,1.981,1.067,0.69,-0.399,0.981,0.853
"TG(16:0_38:1)",0.577,0.946,0.666,0.784,0.527,0.001,-3.299,0.829,0.014
"TG(16:0_38:2)",0.536,3.072,1.712,2.821,1.557,0.066,-1.845,0.918,0.247
"TG(16:0_38:3)",0.509,4.46,2.335,4.317,2.105,0.438,-0.777,0.968,0.654
"TG(16:0_38:4)",0.51,5.26,2.923,5.073,2.52,0.408,-0.828,0.965,0.642
"TG(16:0_38:5)",0.519,6.008,3.461,5.66,2.804,0.178,-1.348,0.942,0.419
"TG(16:0_38:6)",0.539,3.837,2.402,3.407,1.693,0.011,-2.553,0.888,0.073
"TG(16:0_38:7)",0.561,1.067,0.811,0.872,0.501,0,-3.63,0.817,0.007
"TG(16:0_40:6)",0.509,3.386,1.813,3.28,1.506,0.438,-0.777,0.969,0.654
"TG(16:0_40:7)",0.555,3.529,2.173,3.084,1.568,0.004,-2.89,0.874,0.035
"TG(16:0_40:8)",0.574,1.42,1.031,1.164,0.744,0,-3.516,0.82,0.008
"TG(16:1_28:0)",0.514,0.716,1.108,0.614,0.828,0.202,-1.278,0.858,0.454
"TG(16:1_30:1)",0.511,1.495,1.601,1.499,1.554,0.974,0.033,1.003,0.988
"TG(16:1_32:0)",0.548,6.14,7.248,4.897,5.29,0.016,-2.413,0.798,0.089
"TG(16:1_32:1)",0.508,8.624,7.887,8.474,7.473,0.815,-0.234,0.983,0.914
"TG(16:1_32:2)",0.541,2.929,2.219,3.144,2.265,0.254,1.143,1.073,0.511
"TG(16:1_33:1)",0.521,1.273,0.98,1.284,0.88,0.89,0.139,1.008,0.947
"TG(16:1_34:0)",0.515,5.029,4.131,4.677,3.661,0.277,-1.089,0.93,0.528
"TG(16:1_34:1)",0.513,37.28,26.679,37.132,25.421,0.946,-0.068,0.996,0.972
"TG(16:1_34:2)",0.54,24.872,15.679,26.241,15.41,0.293,1.053,1.055,0.54
"TG(16:1_34:3)",0.559,5.479,3.31,6.078,3.472,0.037,2.097,1.109,0.168
"TG(16:1_36:1)",0.512,5.417,3.028,5.537,3.211,0.647,0.458,1.022,0.828
"TG(16:1_36:2)",0.542,28.703,14.367,30.831,15.463,0.092,1.689,1.074,0.295
"TG(16:1_36:3)",0.56,27.694,13.595,30.687,14.339,0.011,2.543,1.108,0.074
"TG(16:1_36:4)",0.564,10.269,5.42,11.422,5.493,0.012,2.519,1.112,0.074
"TG(16:1_36:5)",0.539,1.791,0.953,1.874,0.87,0.275,1.093,1.046,0.527
"TG(16:1_38:3)",0.528,0.75,0.363,0.781,0.368,0.303,1.031,1.042,0.555
"TG(16:1_38:4)",0.52,1.013,0.522,1.042,0.5,0.51,0.659,1.028,0.71
"TG(16:1_38:5)",0.509,1.176,0.598,1.167,0.503,0.842,-0.199,0.992,0.922
"TG(17:0_32:1)",0.52,0.858,0.866,0.778,0.687,0.211,-1.254,0.907,0.458
"TG(17:0_34:1)",0.525,2.758,1.945,2.553,1.636,0.166,-1.386,0.926,0.403
"TG(17:0_34:2)",0.51,2.221,1.167,2.191,1.005,0.737,-0.336,0.986,0.875
"TG(17:0_34:3)",0.534,0.551,0.336,0.57,0.303,0.472,0.72,1.035,0.687
"TG(17:0_36:3)",0.534,3.709,1.889,3.844,1.628,0.355,0.925,1.036,0.612
"TG(17:0_36:4)",0.543,1.415,0.722,1.478,0.608,0.253,1.144,1.044,0.511
"TG(17:1_32:1)",0.503,0.841,0.66,0.825,0.596,0.758,-0.308,0.981,0.889
"TG(17:1_34:1)",0.502,3.461,2.312,3.401,2.109,0.745,-0.326,0.983,0.879
"TG(17:1_34:2)",0.53,2.195,1.3,2.258,1.171,0.539,0.615,1.029,0.74
"TG(17:1_34:3)",0.534,0.458,0.252,0.475,0.234,0.4,0.843,1.037,0.64
"TG(17:1_36:3)",0.532,1.743,0.832,1.817,0.745,0.259,1.13,1.042,0.511
"TG(17:1_36:4)",0.524,0.658,0.308,0.673,0.275,0.558,0.586,1.021,0.749
"TG(17:1_36:5)",0.511,0.173,0.074,0.168,0.068,0.468,-0.727,0.975,0.684
"TG(17:1_38:5)",0.525,0.194,0.083,0.187,0.079,0.316,-1.005,0.965,0.564
"TG(17:1_38:6)",0.537,0.15,0.064,0.141,0.055,0.075,-1.781,0.942,0.259
"TG(17:1_38:7)",0.513,0.024,0.01,0.024,0.01,0.82,0.227,1.008,0.914
